Brand,Name,Picture,Year,Categorys,Note,,
Acqua di Parma,Colonia Ambra,o.30427.jpg,2015,"[""amber"", ""musky"", ""animalic"", ""marine"", ""salty"", ""aromatic""]","[""Ambergris"", ""Sea Notes"", ""Musk""]","[""8"", ""7"", ""26"", ""19"", ""10""]","[""7"", ""39"", ""9"", ""13""]"
Acqua di Parma,Colonia Intensa Oud Eau de Cologne Concentree,o.15519.jpg,2012,"[""oud"", ""leather"", ""citrus"", ""aromatic"", ""animalic"", ""fresh spicy""]","{""middle"": [""Agarwood (Oud)"", ""Coriander"", ""Amyris""], ""base"": [""Leather"", ""Musk""], ""top"": [""Citruses""]}","[""8"", ""10"", ""31"", ""97"", ""126""]","[""20"", ""91"", ""128"", ""73""]"
Acqua di Parma,Colonia Leather Eau de Cologne Concentr e,o.25349.jpg,2014,"[""leather"", ""citrus"", ""woody"", ""animalic"", ""rose"", ""smoky""]","{""middle"": [""Petitgrain Paraguay"", ""Rose""], ""base"": [""Leather"", ""Guaiac Wood"", ""Cedar""], ""top"": [""Brazilian Orange"", ""Lime""]}","[""4"", ""8"", ""17"", ""80"", ""33""]","[""13"", ""45"", ""78"", ""24""]"
Acqua di Parma,Colonia Oud,o.39468.jpg,2012,"[""woody"", ""citrus"", ""oud"", ""leather"", ""balsamic"", ""fresh spicy""]","{""middle"": [""Amyris"", ""Coriander"", ""Agarwood (Oud)""], ""base"": [""Sandalwood"", ""Leather"", ""Musk"", ""Atlas Cedar"", ""Indonesian Patchouli Leaf""], ""top"": [""Italian Orange"", ""Calabrian bergamot""]}","[""0"", ""1"", ""3"", ""13"", ""3""]","[""0"", ""7"", ""13"", ""1""]"
Acqua di Parma,Colonia Quercia,o.38674.jpg,2016,"[""aromatic"", ""citrus"", ""woody"", ""fresh spicy"", ""warm spicy""]","{""middle"": [""Cardamom"", ""Geranium"", ""Cedar""], ""base"": [""Tonka Bean"", ""Patchouli"", ""Oakmoss""], ""top"": [""Petitgrain"", ""Bergamot"", ""Lemon"", ""Pink Pepper""]}","[""0"", ""1"", ""11"", ""6"", ""6""]","[""1"", ""15"", ""4"", ""5""]"
Acqua di Parma,Colonia Sandalo Concentr e,o.38166.jpg,2016,"[""aromatic"", ""citrus"", ""balsamic"", ""warm spicy"", ""woody""]","{""middle"": [""Lavender"", ""Cardamom""], ""base"": [""Sandalwood"", ""Tonka Bean"", ""Amber""], ""top"": [""Bergamot"", ""Orange"", ""Lemon"", ""Petitgrain""]}","[""1"", ""3"", ""3"", ""3"", ""1""]","[""0"", ""7"", ""3"", ""4""]"
Acqua di Parma,Note di Colonia I,o.39624.jpg,2016,"[""floral"", ""woody"", ""fresh spicy"", ""citrus"", ""powdery"", ""aromatic""]","{""middle"": [""Damask Rose"", ""Lavender"", ""Violet""], ""base"": [""Patchouli"", ""Cedar""], ""top"": [""Neroli"", ""Bergamot""]}","[""1"", ""1"", ""1"", ""0"", ""1""]","[""1"", ""1"", ""1"", ""1""]"
Acqua di Parma,Note di Colonia II,o.39625.jpg,2016,"[""citrus"", ""woody"", ""fresh spicy"", ""warm spicy"", ""aromatic""]","{""middle"": [""Sandalwood"", ""Guaiac Wood""], ""base"": [""Musk"", ""Vetiver""], ""top"": [""Bergamot"", ""Orange"", ""Grapefruit"", ""Basil"", ""Cardamom""]}","[""0"", ""1"", ""1"", ""0"", ""0""]","[""0"", ""2"", ""0"", ""1""]"
Acqua di Parma,Note di Colonia III,o.39626.jpg,2016,"[""balsamic"", ""smoky"", ""amber"", ""woody"", ""aromatic""]","{""middle"": [""Vetiver"", ""Olibanum"", ""Jasmine""], ""base"": [""Tonka Bean"", ""Labdanum"", ""Myrhh""], ""top"": [""Mandarin Orange"", ""Ginger""]}","[""0"", ""0"", ""0"", ""1"", ""2""]","[""1"", ""4"", ""1"", ""0""]"
Aesop,Marrakech,o.9547.jpg,2005,"[""warm spicy"", ""woody"", ""balsamic"", ""powdery"", ""aromatic""]","[""Sandalwood"", ""Clove"", ""Cardamom""]","[""1"", ""4"", ""8"", ""0"", ""5""]","[""2"", ""6"", ""5"", ""5""]"
Aesop,Marrakech Intense,o.26229.jpg,2014,"[""warm spicy"", ""woody"", ""white floral"", ""rose"", ""aromatic"", ""citrus""]","{""middle"": [""Neroli"", ""Jasmine"", ""Rose""], ""base"": [""Cedar"", ""Sandalwood""], ""top"": [""Bergamot"", ""Cloves"", ""Cardamom""]}","[""2"", ""3"", ""10"", ""4"", ""6""]","[""1"", ""16"", ""5"", ""6""]"
Aesop,Mystra,o.9549.jpg,2006,"[""balsamic"", ""amber"", ""smoky"", ""musky"", ""warm spicy""]","[""French labdanum"", ""Incense""]","[""1"", ""4"", ""3"", ""1"", ""4""]","[""7"", ""7"", ""2"", ""4""]"
Aesop,Tacit,o.32134.jpg,2015,"[""citrus"", ""green"", ""fresh spicy"", ""woody"", ""warm spicy"", ""aromatic""]","{""middle"": [""Basil""], ""base"": [""Vetiver"", ""Cloves""], ""top"": [""Citruses"", ""Yuzu""]}","[""1"", ""1"", ""4"", ""1"", ""3""]","[""4"", ""5"", ""0"", ""2""]"
